HD-No	work status	province	country	findspot ancient	findspot modern	findspot (village, street, etc.)	year	literature	transcription	tribunicia potestas number	godot URI
HD025579	provisional	Germania superior	Switzerland	Vindonissa	Windisch		91 AD	AE 1925, 0011.  AE 1927, p. 41 s. n. 153.  AE 1926, p. 14 s. n. 65.  RMD 201b.  AE 1991, 1261.	[Imp(erator) Caes(ar) divi Vespasiani] f(ilius) Domitianus [Aug(ustus)] G[er(manicus)] p(ontifex) m(aximus) / trib(unicia) pot(estate) XI imp(erator) XXI co(n)s(ul) XV censor perpetuus [pater p]atri[ae] / dedit honestam missionem mi[l(itibus)] l[eg(ionis)] XI C(laudiae) p(iae) f(idelis) probati in eadem [le]gio/ne C(aio) Luccio Telesino C(aio) Suetonio Paullino [et] / L(ucio) Iulio Rufo Capitone co(n)s(ulibus) sub L(ucio) Iavoleno Prisc[o leg(ato) Aug(usti) pr(o) pr(aetore)] / quor[um] nomina su[bscripta sunt] / [---] Q(uinto) Valerio Vege[to P(ublio) Metili]o N[epote co(n)s(ulibus)] / [------] / [descriptum et rec]og(nitum) [ex t]ab[ula quae fixa est Romae] / [in mu]ro / [po]s[t tem]plum divi Aug(usti) ad Minerv[am]	11	https://godot.date/id/YDdtk5MbdZeDgN2NnbAKsU
HD025595	checked through autopsy	Roma	Italy	Roma	Roma	Forum Nervae, Cloaca Maxima	98 AD	CIL 06, 40486; Foto.  CIL 06, 31296.	[Dedicatum] / [Imp(eratore) Nerva] / [Trai]ano Aug(usto) / [German]ico / [II ---] / [------] / [co(n)s(ulibus)] // [Senatus populusque Romanus] / Im[p(eratori) Nervae Caesari Aug(usto) Germanico] / po[ntif(ici) maximo trib(unicia) potestat(e) III co(n)s(uli) IIII p(atri) p(atriae)] / [------] // [------] / [------] / [------] / [------] / [------] / [------] / [------]	3	https://godot.date/id/7YJnxkSbVsBeR52gQC3LbE
HD025616	checked with photo	Roma	Italy	Roma	Roma		103 AD	CIL 06, 40496a; Foto.	[Imp(erator) Caesa]r divi Ner[vae f(ilius) Nerva Traianus] / [Augustus] Germanic[us Dacicus pontif(ex) max(imus)] / [tribunic(ia) pot]estat(e) VII imp(erator) II[II co(n)s(ul) IIII pater patriae fecit?]	7	https://godot.date/id/J5kBHBBspVRTmRKsnN92YX
HD025637	checked through autopsy	Roma	Italy	Roma	Roma	Forum Caesaris	115 AD	CIL 06, 40504; Foto.	$?] / [Imp(erator) Caes(ar) divi Nervae f(ilius) Nerva Traian]us Op[timus Aug(ustus) Germ(anicus) Dacicus] / [pontif(ex) max(imus) trib(unicia) pot(estate) I]XX imp(erator) X [co(n)s(ul) VI p(ater) p(atriae)]	19	https://godot.date/id/GF63kz586jeEDGy3r4LNgL
HD025685	checked with photo	Roma	Italy	Roma	Roma	Tempel des Jupiter Tonans, unterhalb	135 AD	CIL 06, 40524; fig. α; fig. β (Zeichnung).  CIL 06, 00974.	[S(enatus) p(opulus)q(ue)] R(omanus) / [Imp(eratori) Caes(ari) divi Traiani] Parthici f(ilio) / [divi Nervae nep(oti) Traiano Ha]driano Aug(usto) / [pont(ifici) max(imo) imp(eratori) II trib(unicia) pot(estate) XVI]III co(n)s(uli) III p(atri) p(atriae) / [quod summo pugnandi a]rdore misso / [exercitu suo superatis imperat]oribus max[imis] / [Syriam Palaestinam ab ho]ste liberaverit	19	https://godot.date/id/QtfW7YJt2RzJhRrCcWLb8E
HD025694	no image	Roma	Italy	Roma	Roma		138 AD	CIL 06, 40529.  CIL 06, 00998.  ILS 0331.  A. Kolb, Die Kaiserliche Bauverwaltung in der Stadt Rom. Geschichte und Aufbau der Cura operum publicorum unter dem Prinzipat (Stuttgart 1993) 191, Nr. 23.	Imp(eratori) T(ito) Aelio Caesari / Antonino / Imp(eratoris) Traiani Hadriani Aug(usti) / pontif(icis) max(imi) trib(unicia) pot(estate) XXII / imp(eratoris) II co(n)s(ulis) III p(atris) p(atriae) filio / divi Traiani Parthic(i) n(epoti) / divi Nervae pronepoti / trib(unicia) potest(ate) co(n)s(uli) / viatores qui Caesarib(us) / et co(n)s(ulibus) et pr(aetoribus) apparent et / h(onore) u(si) // Locus assignatus [a - Valerio Urbico et] / M(arco) Aemilio [Papo cur(atoribus) oper(um) locor(um) public(orum)] dedicata Id(ibus) Mai(is) / [Kano Iunio] Nigro / [C(aio) Pomponio] Camerino co(n)s(ulibus) / [curante? ---] Prisco / [------?]	22	https://godot.date/id/iuPfSTf3N4R88NaQFceFiS
HD025736	checked through autopsy	Roma	Italy	Roma	Roma		144 AD	CIL 06, 40546; Foto.  CIL 06, 01217.	$] / [T(ito) Aelio Hadriano] / [Antonino Aug(usto) Pio] / [pontifi]ci m[ax(imo) p(atri) p(atriae)] / [trib(unicia) pot(estate)] VII c[o(n)s(uli) III] / [desig(nato) III]I iu[stissimo] / [principi?] / [&	7	https://godot.date/id/vLNqom44YEpaUyXrpeWNgZ
HD025741	provisional	Moesia inferior	Bulgaria	Municipium Montanensium, bei	Montana (Mihajlovgrad), bei	Sümpfe	78 AD	AE 1925, 0067.  AE 1925, p. 19 s. n. 80.  AE 1926, p. 9 s. n. 34.  CIL 16, 00022.  W. Eck - A. Pangerl, ZPE 173, 2010, 237-243.	Imp(erator) Caesar Vespasianus Augustus / pontifex maximus tribunic(ia) potest(ate) / VIIII imp(erator) XVIIII p(ater) p(atriae) censor co(n)s(ul) VIII / peditibus et equitibus qui militant / in cohortibus octo I Cantabrorum I / Thracum Syriaca I Sugambrorum ti/ronum II Lucensium III et VIII Gallo/rum Cilicum Mattiacorum quae / sunt in Moesia sub Sex(to) Vettuleno / Ceriale qui quina et vicena stipen/dia aut plura meruerunt quoru/m nomina subscripta sunt ipsis / liberis posterisque eorum civi/tatem dedit et conubium cum / uxoribus quas tunc habuissent / cum est civitas iis data aut si qui / caelibes essent cum iis quas pos/tea duxissent dumtaxat singuli / singulas a(nte) d(iem) VII Idus Febr(uarias) / L(ucio) Ceionio Commodo D(ecimo) Novio Prisco co(n)s(ulibus) / cohort(i) Cilicum cui prae(e)st / P(ublius) Seppienus P(ubli) f(ilius) Pol(lia) Aelianus / pediti / Perasi Publi f(ilio) Aeg(is) / descriptum et recognitum ex tabu/la aenea quae fixa est Romae in Ca/pitolio post piscinam in tribunal(is) / deorum parte posteriore // Imp(erator) Caesar Vespasianus Augustus pontif(ex) / maximus tribunic(ia) potestat(e) VIIII imp(erator) / XVIIII p(ater) p(atriae) censor co(n)s(ul) VIII / peditibus et equitibus qui militant in co/hortibus octo I Cantabrorum I Thra/cum Syriaca I Sugambrorum tironum / II Lucensium III et VIII Gallorum Cili/cum Mattiacorum quae sunt in Moe/sia sub Sex(to) Vettuleno Ceriale qui / quina et vicena stipendia aut plura / meruerunt quorum nomina subscri/pta sunt ipsis liberis posterisque / eorum civitatem dedit et conubium // cum uxoribus quas tunc habuiss[ent] / cum est civitas iis data aut si qui cae[li]/bes essent cum iis quas postea dux[is]/sent dumtaxat singuli singulas / a(nte) d(iem) VII Idus Febr(uarias) / L(ucio) Ceionio Commodo D(ecimo) Novio Prisco co(n)s(ulibus) / cohort(i) Cilicum cui prae(e)st / P(ublius) Seppienus P(ubli) f(ilius) Pol(lia) Aelianus / pediti / Perasi Publi f(ilio) Aeg(is) / descriptum et recognitum ex tabula ae/nea quae fixa est Romae in Capitolio // Sex(ti) Priverni Celeris / P(ubli) Atini Rufi / Cn(aei) Pompei Maximi(i) / M(arci) Veturi Montani / M(arci) Stlacci Iuvenalis / L(uci) Naevi Vestalis / M(arci) Lolli Rufi	9	https://godot.date/id/RdHLXDcqcCKHg4t3kU299c
HD025744	provisional	Moesia inferior	Bulgaria		Jakimovo	{Dâlgodelci}	71 AD	AE 1925, 0068.  AE 1926, p. 9 s. n. 34.  CIL 16, 00013.  AE 1925, p. 19 s. n. 80.  I. Velkov, BIAB 2, 1923/24, 94-98, Nr. 2; obr. 36 u. 37. - AE 1925.	Imp(erator) Caesar Vespasianus Aug(ustus) / pont(ifex) max(imus) trib(unicia) pot(estate) II imp(erator) VI p(ater) p(atriae) co(n)s(ul) III / veteranis qui militaverunt in / {in} classe Misenensi sub Sex(to) Lu/cilio Basso qui sena et vicena sti/pendia aut plura m[er]uerunt et / sunt deducti Paestum quorum / nomina subscripta sunt ipsis / liberis posterisque eorum civi/tatem dedit et conubium / cum uxoribus quas tunc habu/issent cum est iis civitas data au/t si qui caelibes essent cum iis quas / postea duxissent dumtaxat sin/gul(i) sing(ulas) a(nte) d(iem) V Idus Febr(uarias) Imp(eratore) Caesare / Vespasiano Aug(usto) III M(arco) Cocceio Ner/va co(n)s(ulibus) Tutio Buti f(ilius) Dacus tab(ula) I pag(i)na / V loco XI descriptum et recognitum / ex tabula aenea quae fixa est Romae / in Capitolio in podio parte exteriore / arae gentis Iul(iae) contr(a) sig(num) Lib(eri) Patris // Imp(erator) Caesar Vespasianus Aug(ustus) pont(ifex) / maxim(us) trib(unicia) pot(estate) II imp(erator) VI p(ater) p(atriae) co(n)s(ul) III / veteranis qui militaverunt in clas/se Misenensi sub Sex(to) Lucilio Basso / qui sena et vicena stipendia aut plura / meruerunt et sunt deducti Paestum / quorum nomina subscripta sunt / ipsis liberis posterisque eorum civita/tem dedit et conubium cum uxoribus	2	https://godot.date/id/UKcUeeggrkrpKUo38xrYKB
HD025846	provisional	Tripolitania	Libyan Arab Jamahiriya	Lepcis Magna	Al Khums	{Hadriansthermen, Frigidarium} (in situ)	202 AD	"AE 1925, 0104.  <a href=""http://irt.kcl.ac.uk/irt2009/IRT393.html"">IRT 393; Foto</a>."	Imp(eratori) Caes(ari) [L(ucio) Septimio Severo] / Pio Pertinaci Aug(usto) Arabico / Adiabenico Parthico maximo / pont(ifici) max(imo) trib(unicia) potest(ate) X imp(eratori) XI p(atri) p(atriae) / proco(n)s(uli) co(n)s(uli) III Lepcitani Septimiani publ(ice) / ob eximiam ac divinam in se indulgentiam	10	https://godot.date/id/qT7qULXycVNzBaAEbsDqeN
HD026070	checked with drawing	Moesia inferior	Bulgaria	Sexaginta Prista	Ruse		144 AD	AE 1916, 0065.  G. Seure, RA 2, 1915, 178-181, Nr. 136; fig. 47 (Zeichnung). (B) - AE 1916.  PIR (2. Aufl.) C 1012.	Imp(eratore) Caes(are) di/vi Hadri(ani) fil(io) / divi Trai(ani) Par/thici nep(ote) di/vi Ner(vae) pronep(ote) / T(ito) Ael(io) Had(riano) Ant(onino) / Aug(usto) Pio p(atre) p(atriae) p(ontifice) max(imo) / trib(unicia) potes(tate) VII / co(n)s(ule) IIII imp(eratore) II / a LX Prist(is) p(e)r / coh(ortem) II Matt(iacorum) Tib(erius) / Cl(audius) Saturn(i)nus / leg(atus) Aug(usti) pr(o) pr(aetore)	7	https://godot.date/id/vLNqom44YEpaUyXrpeWNgZ
HD026335	checked with photo	Macedonia	Macedonia		Vitolište	S. Elias Kirche, bei	120 AD	AE 1924, 0057. (B)  G.I. Kacarov, BCH 47, 1923, 276-278; fig. 1. - AE 1924.  AE 1979, 0563.  F. Papazoglou, ZAnt 24, 1979, 242-243. - AE 1979.  IG 10, 02, 2, 00162.  PIR T 56.	Imp(eratori) Caes(ari) d[i]/vi Traiani Pa[r]/thici fil(io) divi N[er]/vae nepoti Tr[ai]/ano Ha(dria)no A[ug(usto)] / pontifici ma/ximo tr(ibunicia) pot[e]/state IIII co(n)s(uli) [III] / <D=L>(ecimo)#<D>(ecimo)#L Terentio G[en]/tiano leg(ato) A[ug(usti)] / pr(o) pr(aetore) termin[i] / positi per Clau[dia]/num Maaxim[um! |(centurionem)] / leg(ionis) I Minerv(iae) [in]/ter Geneatas e[t ---]/ixinos	4	https://godot.date/id/24HhkGAL6CTEpQvWtECAk8
HD026605	checked through autopsy	Germania superior	Switzerland	Vindonissa	Windisch	Legionslager, via principalis, Einlassbogen	47 AD	AE 1934, 0018.  CIL 13, 11514.  G. Walser, Römische Inschriften in der Schweiz 2 (Bern 1980) 128-129, Nr. 172; Foto.  R. Fellmann, Pro Vindonissa 1956/57, 44-46; Abb. 20; Abb. 21-23 (Zeichnungen).  W. Eck, Die Statthalter der germanischen Provinzen vom 1.-3.  Jahrhundert (Köln - Bonn 1985) 17-18, Nr. 7.  R. Laur-Belart, ASA 36, 1934, 102-104; Abb. 18 (Zeichnung). - AE 1934.	Ti(berio) Claudio Ca[esa]re Aug(usto) Germ(anico) / imp(eratori) XII p(ontifici) m(aximo) tr(ibunicia) po[t(estate) V]II co(n)s(uli) IIII p(atri) p(atriae) / [Q(uinto) Curtio Rufo le]g(ato) Aug(usti) pro pr(aetore) / M(arco) Lic[inio Senecio]ne leg(ato) Aug(usti) / leg[io [[XXI rapax]]]	7	https://godot.date/id/4W6qMfrYda8JGhHP5aS5aM
HD027386	checked through autopsy	Roma	Italy	Roma	Roma	Via Torretta / Via Campo Massio, Ecke	75 AD	CIL 06, 40854; fig. α u. β.	CLVIII // [I]mp(erator) Cae[sar] / Vespasianu[s] / Aug(ustus) pont(ifex) max(imus) / trib(unicia) pot(estate) VI imp(erator) XI[V] / p(ater) p(atriae) censor / co(n)s(ul) VI desig(natus) VII / T(itus) Caesar Aug(usti) f(ilius) / Vespasianus imp(erator) VI / pont(ifex) trib(unicia) pot(estate) IV / censor co(n)s(ul) IV desig(natus) V / auctis p(opuli) R(omani) finibus / pomerium ampliaverunt / terminaveruntque // CCX[L]	6	https://godot.date/id/tKF6gqMHJv9YTtMnfxNnLB
HD027389	checked through autopsy	Roma	Italy	Roma	Roma	Via Torretta / Via Campo Massio, Ecke	121 AD	CIL 06, 40855; fig. α-γ.	[Ex s(enatus)] c(onsulto) col[l]e[g]ium / [au]gurum auctore / [Im]p(eratore) Caesare divi / [T]raiani Parthici f(ilio) / [d]ivi Nervae nepote / [T]raiano Hadriano / Aug(usto) pontif(ice) max(imo) trib(unicia) / potest(ate) V co(n)s(ule) III proco(n)s(ule) / terminos pomerii / restituendos curavit // CLIIX // P(edes) CCXI	5	https://godot.date/id/avVCFmfQmGapo9u5bmAdr6
HD027395	checked through autopsy	Roma	Italy	Roma	Roma		101 AD	CIL 06, 40863; Foto.	[E]x auctoritate / Imp(eratoris) Caesaris divi / Nervae f(ilii) Nervae / [T]raiani Aug(usti) Germ(anici) pont(ificis) ma[x(imi)] / trib(unicia) potest(ate) V co(n)s(ulis) IIII p(atris) p(atriae) / Ti(berius) Iulius Ferox cur(ator) alvei e[t] / ri[p]ar(um) Tiber(is) et c[l]oac(arum) urbis term(inavit) / ripam r(ecto) r(igore) ad prox(imum) cipp(um) p(edes) XVI	5	https://godot.date/id/rNCnSnxP2BqUtxVhkdZTtZ
HD027747	provisional	Africa Proconsularis	Libyan Arab Jamahiriya	Lepcis Magna	Al Khums	{Theater}	92 AD	"AE 1949, 0161.  AE 1951, p. 29 s. n. 83.  AE 1951, 0087.  <a href=""http://irt.kcl.ac.uk/irt2009/IRT347.html"">IRT 347; Foto</a>.  AE 1998, 1513."	Imp(eratore) Caesare divi Vespasiani [[f(ilio) Domitiano Augusto Germanico pontif(ice) max(imo) trib(unicia) potest(ate) XI imp(eratore) XXI co(n)s(ule) XVI censore pe[rpetu]o patre patriae]] / Ti(berius) Claudius Quir(ina) Sestius Ti(beri) Claudi Sesti f(ilius) praefectus sacrorum flamen divi Vespasiani sufes flamen perpetuus amator patriae amator civium ornator patriae amator concordiae cui primo ordo et populus ob merita maiorum eius et ipsius lato clavo semper uti conce[ssit] / podi(um) et aram d(e) s(ua) p(ecunia) f(acienda) c(uravit)	11	https://godot.date/id/YDdtk5MbdZeDgN2NnbAKsU
HD027855	provisional	Macedonia	Greece	Neapolis	Kabála		71 AD	AE 1912, 0010.  AE 1913, p. 10 s. n. 44.  AE 1920, p. 16-17 s. n. 54.  CIL 16, 00012.  S. Basés, Athena 23, 1911, 145-150.  P. Pilhofer, Philippi 2. Katalog der Inschriften von Philippi (Tübingen 2000) 29-34, Nr. 30.  P. Pilhofer, Philippi 2. Katalog der Inschriften von Philippi (2. Aufl. Tübingen 2009) 32-37, Nr. 30.	Imp(erator) Caesar Vespasianus Aug(ustus) pont(ifex) max(imus) / tr(ibunicia) pot(estate) II imp(erator) VI p(ater) p(atriae) co(n)s(ul) III / veteranis qui militaverunt in clas/se Misenense qui sena et vicena sti/pendia aut plura meruerunt et sunt / deducti Paesti quorum nomina sub/scripta sunt ipsis liberis posterisq(ue) / eorum civitatem dedit et conubium / cum uxoribus quas tunc habuissent / cum est civitas is data aut siqui cae/libes essent cum is quas postea du/xissent dumtaxat singuli sin/gulas p(ositum) a(nte) d(iem) V Id(us) Febr(uarias) Imp(eratore) Caes(are) Aug(usto) III M(arco) Coc(ceio) Ner(va) co(n)s(ulibus) / |(centurio) Hesbenus(!) Dulazeni f(ilius) Sapp(aeus) / et Doles f(ilius) eius / descriptum et recognitum ex tabul(a) / aenea quae fixa est Romae in Ca/pitolio ad aram gentis Iul(iae) in podio / parte exteriore tab(ula) I // Imp(erator) Caesar Vespasianus Aug(ustus) pont(ifex) max(imus) / tr(ibunicia) pot(estate) II imp(erator) VI p(ater) p(atriae) co(n)s(ul) III / veteranis qu<i=E>#qu<i>#QUE militaverunt in clas/se Misenense sub Sex(to) Lucilio Basso / qui sena et vicena stipendia aut plura / me<i=E>ruerunt#me<i>ruerunt#MEERUERUNT et sunt deducti Paesti quo/rum nomina subscripta sunt ipsis libe/ris posterisque eorum civitatem dedit / et conubium cum uxoribus quas tunc / habuissent cum est civitas is data // aut siqui caelibes essent cum is quas / postea duxissent dumtaxat singuli / singulas pos(itum) a(nte) d(iem) V Id(us) Febr(uarias) / Imp(eratore) Caesar(e) Vesp(asiano) Aug(usto) III M(arco) Cocceio Nerva{e} co(n)s(ulibus) / cent(urio) Hezbenus Dulazeni Sappa(eus) / et / Doles f(ilius) eius / descriptum et recognitum ex tabula / aenea quae fixa e<s=I>t#e<s>t#EIT Romae in Capitol(io) / ad aram gentis Iuliae in podio parte / exteriore tab(ula) I // D(ecimi) Liburni Rufi Philippie(n)sis / C(ai) Sallusti Crescentis m(ilitis) c(o)h(ortis) IIII pr(aetoriae) / |(centurionis) augur(is) Philipp(iensis) / P(ubli) Popilli Rufi Philippie(n)sis / L(uci) Betuedi Valentis Philippie(n)sis / L(uci) Betuedi Primigeni Philippie(n)s(is) / Cn(aei) Corneli Flori Philippie(n)sis / C(ai) Herennulei C/hryserotis Phi/lippie(n)sis	2	https://godot.date/id/UKcUeeggrkrpKUo38xrYKB
HD028126	provisional	Moesia inferior	Bulgaria	Nicopolis ad Istrum, bei	Pavlikeni	{Lesičeri}, bei	138 AD	AE 1900, 0026.  CIL 16, 00083.  AE 1900, 0056.  AE 1900, 0057.  E. Bormann, AEM 3, 1900, 12-21, Nr. 1; Fotos. - AE 1900.	$] / quas nunc habent cum iis civit(as) d[a]/tur aut siq(ui) caelibes sunt cum is qua[s] / post(ea) duxer(int) dumtaxat singuli sin/gulas pr(idie) Kal(endas) Mar(tias) Kano Iunio Nigro / C(aio) Pomponio Camerino co(n)s(ulibus) / coh(ortis) II Mattiacor(um) cui prae(e)st / T(itus) Flavius Laco Side / ex pedite / Clagissae Clagissae f(ilio) Bess(o) / et Spor f(ilio) et Derzizeno f(ilio) et Eptacent(o) / et Zinae fil(io) et Eptaperi fil(io) eius / descript(um) et recogn(itum) ex tabula aerea / quae fixa est Romae in muro post / templ(um) divi Aug(usti) ad Minerva(m) // [Imp(erator) Caesar divi Tr]aiani Parthi(ci) f(ilius) divi / [Nervae nepos T]raian(us) Hadrianus / [Aug(ustus) pontif(ex) max(imus) trib(unicia)] pot(estate) XXII imp(erator) II co(n)s(ul) III p(ater) p(atriae) / [eq(uitibus) et ped(itibus) qui mil(itaverunt) in a]l(is) III et coh(ortibus) V q(uae) app(ellantur) / [---] et II His(panorum) Arv(acorum) et I / [---] et I Chal(cidenorum) et I Lusi(tanorum) / [--- et su]nt in Moes(ia) infer(iore) / [sub ---]o XXV ite(rum) clas(sicis) XXVI / [plur(ibusve)] stip(endiis) emer(itis) dim(issis) hon(esta) mis(sione) quor(um) / [nom(ina) subscr(ipta) sunt ci]v(itatem) ded(it) et con(ubium) cu(m) / [uxor(ibus) quas nunc habent cum is] civ(itas) dat(ur) aut siq(ui) / [caelib(es) sunt is quas post(ea) du]x(erint) dumtax(at) sin/[guli singulas & // $] pridie K(alendas) [Mar(tias)] / Kano et [Camerino co(n)s(ulibus)] / coh(ortis) II Matti[acor(um) cui prae(e)st] / T(itus) Flavius [Laco Side] / ex pedite / Clagisae Clagis[ae f(ilio) Besso] / et Spor f(ilio) et Derz[izeno f(ilio)] / et Etilento(!) f(ilio) et Z[inae f(ilio)] / et Epreri(!) f(ilio) [eius & // Ti(beri) Claudi [Menandri] / P(ubli) Atti [Severi] / L(uci) Pulli [Daphni] / P(ubli) Atti [Festi] / T(iti) Flavi [Lauri] / Ti(beri) Iuli [Felicis] / C(ai) Iuli [Silvani]	22	https://godot.date/id/iuPfSTf3N4R88NaQFceFiS
HD028237	checked with drawing	Germania superior	Germany	Grinario	Köngen	Lager, bei	129 AD	AE 1900, 0073. (B)  CIL 17, 02, 00656; Zeichnung.  CIL 13, 09084. (B)  F. Haug - G. Sixt, Die römischen Inschriften und Bildwerke Württembergs (2. Aufl. Stuttgart 1914) 308-309, Nr. 499. (B)  G. Sixt, KWDZ 19, 1900, 33-34, Nr. 16. (B) - AE 1900.	Imp(erator) Caesar / divi Traian(i) / Parth(ici) f(ilius) divi / Nervae nep(os) / Traian(us) Hadri(anus) / Aug(ustus) pont(ifex) ma(ximus) / trib(unicia) pot(estate) XIII c(onsul) / III p(ater) p(atriae) a Sumel(ocenna) / m(ilia) p(assuum) XXVIIII	13	https://godot.date/id/u7we5Vgh9wdGTdF7uXX9Z3
HD028546	provisional	Pannonia superior	Hungary	Brigetio	Komárom	Szőny	150 AD	AE 1894, 0003.  CIL 16, 00099.  ILS 9056.  PIR (2. Aufl.) P 870.	Imp(erator) Caesar divi [Ha]dr[iani] f(ilius) divi Tra[ian(i)] / Parthic(i) nep(os) divi Nervae [pro]nep(os) T(itus) A[elius Ha]/[d]rianus Antoninus Aug(ustus) Pius [pont(ifex)] max(imus) / [trib(unicia)] pot(estate) XIII imp(erator) II co(n)s(ul) IV p(ater) [p(atriae)] / equitib(us) qui militaverunt in al[is V quae] / appell(antur) I Hispanor(um) Aravacor(um) [et III Aug(usta)] / Thrac(um) sagit(taria) quae sunt [i]n Pann(onia) su[p]e[rio]/r(e) sub Claudio Maximo item I Fla[via] / Britann(ica) |(miliaria) c(ivium) R(omanorum) et I Thrac(um) veter(ana) sag[it(taria)] / et I Aug(usta) Itureor(um) sagit(taria) quae sunt in Pa[nn(onia)] / inferior(e) sub Cominio Secundo quin[is] / et vicenis plurib(usve) stip(endiis) emer(itis) d[i]m[iss(is)] h[o]/nest(a) miss(ione) per Porcium Vetustinum / proc(uratorem) cum essent in expedition(e) Maure/tan(iae) Caesarens(is) quor(um) nomin(a) subscript(a) / sunt civit(atem) Roman(am) qui eor(um) non hab(erent) dedit / et conub(ium) cum uxor(ibus) quas tunc habuiss(ent) / cum est civit(as) is data aut cum is quas / post(ea) dux(issent) dumtaxat singul(is) / K(alendis) Aug(ustis) / M(arco) Cassio Apollinare / M(arco) Petronio Mamertino co(n)s(ulibus) / alae I Hispan(orum) Aravacor(um) / ex gregale / Victori Liccai(!) f(ilio) Azalo / descript(um) et recognit(um) ex tabula ae/rea quae fixa est Romae in muro / pos(t) templ(um) divi Aug(usti) ad / Minervam // Imp(erator) Caes(ar) divi Hadriani f(ilius) divi Traian(i) Parth(ici) / nep(os) divi Ner(vae) pron(epos) T(itus) Aelius Hadrianus / Antoninus Aug(ustus) Pius pon(tifex) max(imus) tri(bunicia) / pot(estate) XIII imp(erator) II co(n)s(ul) IV p(ater) p(atriae) / equit(ibus) qui milit(averunt) in ali(s) V quae sunt in / Pann(onia) utrasq(ue)(!) XXV plu(ribusve) sti(pendiis) eme(ritis) dim(issis) hon(esta) / mis(sione) per Porcium Vetustinum quor(um) / [n]om(ina) subscr(ipta) sunt civ(itatem) Rom(anam) qui eo(rum) non / [ha]b(erent) ded(it) et con(ubium) cum ux(oribus) qua(s) [t]un(c) hab(uissent) / [cu]m est civ(itas) is dat(a) aut cu(m) is qu(as) pos(tea) dux(issent) / [d]umtax(at) singu(lis) [& // K(alendis) Aug(ustis) / Apollinare et Mamertino co(n)s(ulibus) / [a]l[ae] I Aravacor(um) / ex gregale / [V]ictori Liccai(!) f(ilio) Azalo / [& // M(arci) Servili Getae / L(uci) Pulli Chresimi / M(arci) Sentili Iasi / Ti(beri) Iul[i] Felicis / C(ai) Iuli Silvani / L(uci) [I]ulli Velocis / [---]ili Prisci	13	https://godot.date/id/AQjTPHcuJYgWSHFxX66zMN
HD028566	checked with photo	Noricum	Austria	Lauriacum	Enns	{Legionslager, principia, Eingang}, sekundär verwendet	202 AD	"AE 1909, 0248. (B)  AE 1912, 0293. (B)  AE 2006, 1001. (B)  ILLPRON 0961. (B)  PIR (2. Aufl.) I 889.  M. von Groller, RLŒ 10, 1909, 103-107; fig. 46. - AE 1909.  E. Bormann, RLŒ 11, 1910, 130-136; Fig. 34; Zeichnung. (B)  H. May, Römer-Inschriften in Oberösterreich (o. Ort 1911) 10-11. (B) - AE 1912.  H. Ubl, in: H. Ubl (Hrsg.), Museum Lauriacum. Katalog zur Schausammlung ""Römerzeit"" des Museums Lauriacum-Enns 2 (Enns - Wien 1997) 31-33, Nr. I/17. (B)  H. Petrovitsch, Legio II Italica (Linz 2006) 24-27, Nr. L.06; Fotos u. Zeichnung. (B)  G. Winkler, RŒ 29, 2006, 17-27; Abb. 2 u. 3; Abb. 4 (Zeichnung). (B) - AE 2006.  E. Weber - I. Weber-Hiden, Tyche 22, 2007, 196, Nr. 19. - AE 2006.  G. Winkler, in: C. Schwanzar - G. Winkler (Hrsg.), Archäologie und Landeskunde.  Beiträge zur Tagung im Linzer Schlossmuseum, Linz 2007 (Linz 2007) 156-157, Nr. 3; Abb. 5 (Zeichnung).  M. Holzner - E. Weber, Tyche 23, 2008, 194, Nr. 75. (B) - AE 2006."	Imp(erator) Caes(ar) divi M(arci) [Antonini Pii Germ(anici) Sarm(atici) fil(ius) divi] / Commodi frat(er) div[i Antonini Pii nep(os) divi Hadriani pronep(os)] / divi Traian[i Parth(ici) abnep(os) divi Nervae adnep(os)] / L(ucius) Sept(imius) Severus Piu[s Pertinax Aug(ustus) Ar]ab(icus) Adiab(enicus) [Parth(icus) max(imus)] / pont(ifex) max(imus) tr(ibunicia) pot(estate) [X imp(erator) XII co(n)s(ul) III p(ater) p(atriae) e]t Imp(erator) Cae[s(ar) L(uci) Septimi] / Severi Pii Pertina[cis Aug(usti) Arab(ici) Adiab(enici) P]arth(ici) ma[x(imi) fil(ius) divi] / M(arci) Antonini Pii Ge[rm(anici) Sarm(atici) nep(os) divi A]ntonini [Pii pronep(os)] / divi Hadriani abn[ep(os) divi Traiani Part]h(ici) et divi N[ervae adnep(os)] / M(arcus) Aur(elius) Antoninus Piu[s Aug(ustus) tr(ibunicia) pot(estate) IIII co(n)s(ul) et] Imp(erator) Caes(ar) L(uci) [Sept(imi) Severi] / Pii Pertinacis Aug(usti) Arab(ici) A[diab(enici) Parth(ici) max(imi) fil(ius) Imp(eratoris) C]aes(aris) M(arci) Aur(eli) An[tonini Pii frat(er)] / [[P(ublius) Sept(imius) Geta Caes(ar) p[rinc(eps)? iuv(entutis)?]] ---] feceru[nt curante] / Iuventio Pr[oculo leg(ato) Auggg(ustorum) pr(o) pr(aetore)] co(n)s(ule) d[esig(nato)] / legio II [Ital(ica) p(ia) f(idelis) A]ntonin[iana]	10	https://godot.date/id/qT7qULXycVNzBaAEbsDqeN
